,Customer_ID,Gender,Product_Category_Most_Purchased,Churn,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
0,1,Male,Clothing,No,Yes,31-40,40000-60000,3-5,30-65,10-13,3-4,0-2
1,2,Female,Electronics,Yes,Yes,31-40,40000-60000,3-5,100-135,10-13,7-9,0-2
2,3,Male,Electronics,No,Yes,41-50,20000-40000,3-5,100-135,6-9,3-4,0-2
3,4,Female,Home,No,Yes,51-60,20000-40000,0-2,65-100,6-9,3-4,0-2
4,5,Male,Books,No,Yes,31-40,60000-80000,6-8,100-135,6-9,3-4,0-2
5,6,Male,Clothing,No,No,31-40,40000-60000,6-8,100-135,6-9,7-9,4-6
6,7,Male,Health,No,Yes,51-60,20000-40000,6-8,100-135,14-17,5-6,0-2
7,8,Male,Books,No,Yes,41-50,40000-60000,6-8,100-135,10-13,5-6,0-2
8,9,Female,Home,No,Yes,31-40,60000-80000,3-5,65-100,14-17,5-6,0-2
9,10,Male,Books,No,No,41-50,60000-80000,3-5,100-135,2-5,5-6,2-4
10,11,Female,Home,No,Yes,31-40,60000-80000,0-2,65-100,6-9,3-4,0-2
11,12,Male,Electronics,No,No,31-40,20000-40000,3-5,65-100,10-13,5-6,0-2
12,13,Male,Electronics,No,No,31-40,20000-40000,3-5,30-65,14-17,3-4,0-2
13,14,Male,Books,No,Yes,11-20,60000-80000,3-5,100-135,2-5,7-9,0-2
14,15,Female,Clothing,No,Yes,11-20,40000-60000,3-5,100-135,10-13,5-6,0-2
15,16,Male,Health,No,No,21-30,40000-60000,9-11,100-135,6-9,5-6,0-2
16,17,Female,Home,Yes,Yes,21-30,60000-80000,6-8,100-135,6-9,3-4,0-2
17,18,Female,Health,No,Yes,31-40,40000-60000,6-8,65-100,10-13,5-6,0-2
18,19,Female,Electronics,Yes,No,21-30,40000-60000,3-5,100-135,6-9,3-4,0-2
19,20,Female,Clothing,No,No,21-30,80000- 100000,0-2,100-135,10-13,3-4,0-2
20,21,Female,Clothing,Yes,No,41-50,40000-60000,3-5,65-100,14-17,3-4,0-2
21,22,Female,Health,No,Yes,31-40,60000-80000,3-5,100-135,6-9,5-6,2-4
22,23,Female,Electronics,No,Yes,31-40,40000-60000,3-5,65-100,6-9,5-6,2-4
23,24,Female,Health,No,Yes,21-30,40000-60000,3-5,100-135,14-17,3-4,0-2
24,25,Female,Books,No,Yes,21-30,60000-80000,6-8,65-100,6-9,3-4,0-2
25,26,Male,Clothing,No,Yes,31-40,40000-60000,6-8,100-135,10-13,5-6,0-2
26,27,Male,Clothing,No,Yes,21-30,40000-60000,6-8,65-100,10-13,5-6,0-2
27,28,Male,Books,No,Yes,31-40,60000-80000,3-5,65-100,6-9,3-4,0-2
28,29,Male,Electronics,No,No,21-30,40000-60000,3-5,30-65,6-9,3-4,0-2
29,30,Male,Clothing,Yes,No,31-40,20000-40000,0-2,65-100,10-13,7-9,2-4
30,31,Female,Home,No,No,21-30,20000-40000,3-5,65-100,6-9,7-9,0-2
31,32,Female,Home,No,Yes,51-60,20000-40000,0-2,100-135,6-9,,0-2
32,33,Female,Electronics,No,Yes,31-40,80000- 100000,3-5,135-170,10-13,5-6,0-2
33,34,Female,Books,No,No,21-30,20000-40000,3-5,100-135,6-9,3-4,2-4
34,35,Female,Health,No,Yes,41-50,40000-60000,3-5,135-170,6-9,3-4,2-4
35,36,Female,Electronics,No,Yes,21-30,40000-60000,6-8,65-100,10-13,3-4,2-4
36,37,Female,Health,No,Yes,31-40,40000-60000,6-8,65-100,6-9,3-4,0-2
37,38,Male,Electronics,Yes,Yes,11-20,60000-80000,3-5,65-100,14-17,7-9,0-2
38,39,Male,Home,No,Yes,21-30,60000-80000,3-5,65-100,14-17,5-6,0-2
39,40,Male,Books,No,No,31-40,40000-60000,3-5,135-170,10-13,5-6,0-2
40,41,Male,Home,No,No,41-50,40000-60000,0-2,65-100,6-9,3-4,0-2
41,42,Female,Books,No,Yes,31-40,40000-60000,9-11,100-135,14-17,7-9,0-2
42,43,Female,Health,No,Yes,31-40,40000-60000,6-8,65-100,10-13,5-6,2-4
43,44,Female,Electronics,No,No,31-40,60000-80000,3-5,65-100,6-9,3-4,2-4
44,45,Male,Clothing,No,Yes,21-30,40000-60000,3-5,65-100,6-9,7-9,0-2
45,46,Female,Clothing,No,Yes,21-30,60000-80000,3-5,100-135,10-13,3-4,2-4
46,47,Female,Books,No,No,31-40,40000-60000,3-5,65-100,6-9,3-4,0-2
47,48,Female,Books,Yes,No,41-50,60000-80000,0-2,100-135,14-17,5-6,0-2
48,49,Male,Home,No,No,31-40,40000-60000,3-5,100-135,10-13,5-6,0-2
49,50,Female,Clothing,No,Yes,11-20,20000-40000,6-8,30-65,6-9,3-4,0-2
50,51,Male,Home,No,Yes,31-40,40000-60000,6-8,100-135,2-5,3-4,0-2
51,52,Male,Health,No,No,31-40,40000-60000,9-11,30-65,10-13,,0-2
52,53,Male,Clothing,No,Yes,21-30,40000-60000,3-5,30-65,10-13,5-6,0-2
53,54,Male,Health,No,No,41-50,40000-60000,3-5,65-100,10-13,5-6,0-2
54,55,Female,Electronics,No,Yes,41-50,60000-80000,6-8,65-100,10-13,3-4,4-6
55,56,Male,Home,No,No,41-50,40000-60000,6-8,100-135,6-9,3-4,0-2
56,57,Male,Books,No,Yes,21-30,40000-60000,6-8,65-100,10-13,3-4,0-2
57,58,Female,Clothing,No,Yes,31-40,60000-80000,3-5,100-135,6-9,3-4,0-2
58,59,Female,Home,No,Yes,31-40,40000-60000,3-5,65-100,6-9,3-4,0-2
59,60,Male,Books,Yes,Yes,41-50,80000- 100000,3-5,100-135,14-17,3-4,0-2
60,61,Female,Electronics,No,Yes,31-40,40000-60000,9-11,100-135,6-9,5-6,0-2
61,62,Male,Clothing,No,Yes,31-40,20000-40000,6-8,100-135,14-17,3-4,0-2
62,63,Male,Health,No,No,21-30,60000-80000,0-2,65-100,6-9,5-6,0-2
63,64,Male,Electronics,No,Yes,21-30,40000-60000,0-2,65-100,6-9,3-4,0-2
