Customer_ID,Future_Purchase,Age_Group,Annual_Income_Group,Total_Purchases_Group,Average_Purchase_Value_Group,Website_Visits_Last_Month_Group,Marketing_Emails_Opened_Group,Hours_Spent_on_Support_Calls_Group
1,1,4,3,2,1,3,2,1
2,1,4,3,2,3,3,4,1
3,1,5,2,2,3,2,2,1
4,1,6,2,1,2,2,2,1
5,1,4,4,3,3,2,2,1
6,0,4,3,3,3,2,4,3
7,1,6,2,3,3,4,3,1
8,1,5,3,3,3,3,3,1
9,1,4,4,2,2,4,3,1
10,0,5,4,2,3,1,3,2
11,1,4,4,1,2,2,2,1
12,0,4,2,2,2,3,3,1
13,0,4,2,2,1,4,2,1
14,1,2,4,2,3,1,4,1
15,1,2,3,2,3,3,3,1
16,0,3,3,4,3,2,3,1
17,1,3,4,3,3,2,2,1
18,1,4,3,3,2,3,3,1
19,0,3,3,2,3,2,2,1
20,0,3,5,1,3,3,2,1
21,0,5,3,2,2,4,2,1
22,1,4,4,2,3,2,3,2
23,1,4,3,2,2,2,3,2
24,1,3,3,2,3,4,2,1
25,1,3,4,3,2,2,2,1
26,1,4,3,3,3,3,3,1
27,1,3,3,3,2,3,3,1
28,1,4,4,2,2,2,2,1
29,0,3,3,2,1,2,2,1
30,0,4,2,1,2,3,4,2
31,0,3,2,2,2,2,4,1
32,1,6,2,1,3,2,,1
33,1,4,5,2,4,3,3,1
34,0,3,2,2,3,2,2,2
35,1,5,3,2,4,2,2,2
36,1,3,3,3,2,3,2,2
37,1,4,3,3,2,2,2,1
38,1,2,4,2,2,4,4,1
39,1,3,4,2,2,4,3,1
40,0,4,3,2,4,3,3,1
41,0,5,3,1,2,2,2,1
42,1,4,3,4,3,4,4,1
43,1,4,3,3,2,3,3,2
44,0,4,4,2,2,2,2,2
45,1,3,3,2,2,2,4,1
46,1,3,4,2,3,3,2,2
47,0,4,3,2,2,2,2,1
48,0,5,4,1,3,4,3,1
49,0,4,3,2,3,3,3,1
50,1,2,2,3,1,2,2,1
51,1,4,3,3,3,1,2,1
52,0,4,3,4,1,3,,1
53,1,3,3,2,1,3,3,1
54,0,5,3,2,2,3,3,1
55,1,5,4,3,2,3,2,3
56,0,5,3,3,3,2,2,1
57,1,3,3,3,2,3,2,1
58,1,4,4,2,3,2,2,1
59,1,4,3,2,2,2,2,1
60,1,5,5,2,3,4,2,1
61,1,4,3,4,3,2,3,1
62,1,4,2,3,3,4,2,1
63,0,3,4,1,2,2,3,1
64,1,3,3,1,2,2,2,1
65,1,5,4,2,2,3,3,1
66,1,5,4,3,2,2,1,1
67,0,4,3,4,2,3,3,2
68,1,5,2,4,2,2,2,1
69,1,4,3,2,3,2,4,1
70,0,3,2,3,3,4,3,2
71,1,4,3,3,3,2,3,1
72,1,6,3,2,3,4,2,1
73,1,4,4,3,2,2,3,2
74,0,6,3,2,3,3,3,1
75,1,1,2,1,3,3,2,1
76,0,5,3,4,1,3,3,1
77,0,4,4,3,2,4,3,2
78,1,4,3,2,2,2,3,1
79,0,4,3,3,3,4,3,1
80,1,2,3,2,3,2,4,1
81,1,4,2,1,3,4,4,1
82,1,4,3,3,1,2,3,1
83,0,5,3,2,2,4,3,1
84,1,3,3,2,2,4,3,1
85,1,3,2,2,2,5,3,1
86,1,3,3,2,3,2,,2
87,1,5,4,2,2,2,1,2
88,1,4,3,2,3,2,2,2
89,1,3,4,4,1,2,2,1
90,1,5,3,3,3,2,2,1
91,1,4,3,2,3,1,2,1
92,1,5,4,2,3,1,3,1
93,1,3,2,2,3,2,2,1
94,0,4,2,2,3,3,3,1
95,0,4,2,3,2,4,3,2
96,1,3,4,2,2,2,2,1
97,1,4,3,2,1,3,2,1
98,0,4,5,2,2,2,3,1
99,0,4,3,3,2,3,3,1
100,1,4,3,2,3,2,4,1
101,1,3,4,3,2,2,4,1
102,1,4,5,3,2,2,4,1
103,1,4,5,1,2,1,3,1
104,1,3,4,3,4,2,4,1
105,0,4,4,2,2,1,3,1
106,1,4,3,1,2,3,4,2
107,1,6,4,1,3,4,1,1
108,0,4,3,2,4,2,4,2
109,0,4,2,2,2,5,3,1
110,0,4,3,2,3,3,3,1
111,0,2,3,2,3,2,2,1
112,1,4,3,4,1,3,3,1
113,0,4,4,1,2,3,2,1
114,0,6,4,3,3,2,2,1
115,1,4,3,2,2,2,2,2
116,1,4,4,2,3,4,3,1
117,1,4,2,2,2,2,1,1
118,0,3,3,4,2,4,2,1
119,1,5,2,1,2,3,2,1
120,1,5,2,3,3,2,3,1
121,1,5,3,2,3,4,2,1
122,1,3,3,2,3,3,2,1
123,1,5,4,2,4,2,3,1
124,1,3,3,4,3,2,3,1
125,0,5,2,2,1,3,2,1
126,1,6,4,2,2,2,2,1
127,1,3,4,2,4,2,2,1
128,1,3,3,2,2,3,4,1
129,1,4,3,3,4,2,3,1
130,1,3,2,1,2,4,3,1
131,1,2,3,2,2,3,2,1
132,1,4,4,3,3,3,3,1
133,1,3,4,2,2,2,2,1
134,1,4,4,3,3,2,1,1
135,1,3,3,2,3,3,3,1
136,1,6,2,3,3,2,3,1
137,1,3,3,2,3,3,2,1
138,1,4,2,3,3,3,3,1
139,0,5,3,2,3,2,,1
140,0,3,3,2,2,2,3,1
141,1,4,3,2,4,3,3,1
142,1,5,2,4,3,3,4,1
143,1,2,3,3,2,2,4,1
144,1,4,3,3,1,2,3,1
145,0,4,2,2,2,1,3,1
146,0,5,1,1,3,2,2,1
147,0,3,3,4,3,3,3,1
148,0,3,4,2,3,3,2,1
149,0,5,4,2,1,2,2,1
150,1,4,3,2,2,3,3,1
151,1,4,3,2,2,3,2,1
152,0,4,3,1,2,3,3,1
153,1,3,2,1,4,3,3,3
154,1,4,3,3,4,4,3,1
155,1,4,4,2,2,3,2,1
156,0,3,4,1,2,2,2,1
157,1,6,3,2,2,2,3,1
158,1,4,3,3,2,4,4,1
159,0,3,2,2,3,3,2,1
160,0,5,2,2,3,1,2,1
161,0,3,3,2,3,4,4,1
162,1,5,3,2,2,1,2,1
163,1,5,4,2,3,2,4,1
164,0,3,2,2,3,3,3,1
165,1,5,4,2,3,4,3,1
166,1,4,3,3,2,2,2,1
167,1,5,3,3,3,2,2,1
168,1,6,2,2,3,3,2,1
169,1,4,1,4,2,4,4,1
170,1,3,4,3,2,2,3,1
171,1,3,4,2,2,3,3,1
172,0,3,3,2,2,2,3,1
173,1,4,3,2,2,2,2,1
174,1,4,3,4,2,2,3,1
175,1,4,2,3,2,4,3,1
176,1,5,3,1,2,3,3,1
177,0,4,4,2,3,2,2,1
178,1,5,2,2,3,4,3,1
179,0,4,3,1,2,2,4,1
180,1,7,2,2,2,2,3,1
181,1,5,3,3,2,2,2,1
182,1,3,3,2,2,2,3,1
183,1,3,2,4,3,3,2,2
184,1,4,4,2,3,2,3,1
185,1,4,2,2,3,1,4,1
186,1,5,2,2,3,4,3,1
187,0,4,3,2,3,4,3,1
188,0,4,4,2,3,1,3,1
189,1,3,2,3,3,2,2,1
190,1,2,3,2,2,3,2,1
191,1,4,3,1,3,2,4,2
192,0,5,4,4,3,3,3,1
193,1,4,3,2,3,2,1,1
194,1,3,3,4,3,5,2,2
195,1,4,2,2,4,5,3,2
196,1,4,3,2,2,3,3,1
197,1,3,2,1,3,4,4,1
198,1,4,1,2,2,4,2,1
199,0,4,3,3,3,2,4,1
200,0,3,4,3,2,2,3,1
201,1,4,1,1,3,3,3,1
202,1,5,2,2,3,4,3,1
203,1,5,3,2,3,2,2,1
204,0,5,5,2,3,2,4,1
205,0,3,3,3,2,2,2,1
206,1,3,2,2,2,4,2,1
207,1,5,3,3,3,4,3,1
208,1,5,4,2,1,3,3,1
209,1,5,3,2,3,3,4,1
210,1,,2,3,4,3,3,1
211,0,5,3,2,3,4,3,1
212,1,5,2,3,2,2,4,1
213,1,5,3,3,2,4,1,1
214,0,5,4,2,3,2,4,1
215,1,4,3,3,2,3,2,1
216,0,5,3,2,3,4,4,1
217,1,3,3,2,2,4,2,1
218,0,4,2,2,3,2,3,1
219,1,4,4,4,3,2,4,1
220,1,4,3,3,2,2,3,1
221,1,6,3,2,2,5,3,1
222,1,2,5,2,2,4,3,1
223,1,5,3,2,2,2,3,1
224,0,2,2,2,2,2,4,1
225,0,4,3,1,2,1,3,1
226,1,5,4,3,3,3,2,1
227,1,4,3,1,3,4,1,2
228,0,3,2,2,3,4,2,2
229,0,3,4,1,2,2,2,1
230,1,5,2,3,4,3,3,1
231,0,3,4,2,2,4,2,1
232,1,4,4,2,3,3,1,2
233,1,4,3,1,2,1,1,1
234,1,3,4,3,2,2,4,1
235,0,6,3,3,2,4,3,1
236,1,5,4,3,2,3,2,1
237,1,2,3,3,2,2,4,1
238,1,4,2,3,3,2,2,1
239,1,3,3,2,3,2,4,1
240,1,5,4,2,2,4,3,1
241,1,3,3,3,2,2,2,2
242,1,4,3,2,2,3,3,1
243,1,5,2,2,3,2,3,1
244,0,5,3,3,2,2,3,1
245,1,3,5,2,2,3,4,1
246,0,4,2,1,2,3,2,1
247,1,4,3,2,4,3,2,1
248,1,3,4,2,3,3,2,1
249,1,6,3,3,3,4,2,1
250,1,4,3,4,3,2,2,1
251,1,3,2,2,2,1,4,4
252,0,5,3,2,2,3,2,1
253,0,6,3,2,2,2,3,1
254,1,5,4,1,2,2,3,1
255,1,2,4,2,2,2,4,1
256,0,4,5,4,2,3,,1
257,1,5,3,2,4,2,3,1
258,1,3,3,2,3,4,4,1
259,0,4,3,3,3,3,3,1
260,0,5,3,3,2,2,4,1
261,1,3,3,2,2,3,3,1
262,1,4,3,2,2,2,2,2
263,1,1,3,4,2,3,3,1
264,0,3,4,1,3,3,3,1
265,0,4,2,3,2,3,2,1
266,1,3,4,3,2,2,2,1
267,0,6,4,3,3,2,3,1
268,0,3,3,4,3,2,4,2
269,1,4,1,2,3,1,1,1
270,0,4,3,3,3,2,3,1
271,1,5,4,3,2,3,3,1
272,1,3,3,3,3,3,4,1
273,1,5,2,2,3,1,4,1
274,0,4,3,2,2,2,3,1
275,1,3,4,1,4,3,3,1
276,1,4,3,3,4,1,2,5
277,0,4,3,2,3,1,3,1
278,1,3,3,3,3,2,3,1
279,0,4,3,2,2,3,4,1
280,1,4,2,2,2,3,3,1
281,1,4,4,2,3,3,2,1
282,1,5,3,2,2,3,3,1
283,0,6,4,2,3,3,2,1
284,1,3,4,2,3,3,1,1
285,1,6,4,2,2,2,2,1
286,0,2,3,2,2,4,2,1
287,1,4,3,2,2,3,4,1
288,0,5,3,4,3,2,2,3
289,0,4,2,1,2,2,2,1
290,1,3,3,2,2,1,4,1
291,1,4,2,2,3,4,3,1
292,1,4,4,2,2,2,1,1
293,1,3,3,3,3,3,2,1
294,0,5,3,2,1,2,2,1
295,0,4,3,2,3,3,2,1
296,1,3,3,2,2,2,2,2
297,1,5,3,2,2,4,3,1
298,1,4,3,3,3,4,2,1
299,1,5,4,2,3,1,2,1
300,1,5,2,3,3,4,4,1
301,1,3,3,2,2,2,3,1
302,1,3,4,2,2,4,4,1
303,1,5,2,2,2,5,3,1
304,0,5,2,3,2,4,3,1
305,1,4,3,3,3,2,3,1
306,0,4,3,2,3,2,2,1
307,1,5,3,1,2,4,2,1
308,0,3,3,3,3,2,3,1
309,1,5,3,2,2,2,3,1
310,0,4,4,1,3,3,3,1
311,0,4,3,2,3,4,4,1
312,1,5,3,1,2,2,3,1
313,1,5,4,2,4,4,3,1
314,0,5,4,2,2,2,3,1
315,0,5,3,3,3,1,4,1
316,0,4,2,2,3,2,4,1
317,0,5,4,2,3,2,4,1
318,1,4,3,3,3,1,2,3
319,1,4,1,4,3,3,3,1
320,1,4,4,3,2,2,2,2
321,0,4,3,3,3,2,2,1
322,1,5,3,3,3,2,4,1
323,1,3,3,4,3,3,1,1
324,0,6,3,1,2,3,4,1
325,0,3,4,2,3,2,2,1
326,1,3,3,4,4,4,3,1
327,1,5,3,2,2,2,2,1
328,1,5,3,3,3,3,2,1
329,1,5,4,2,2,2,2,1
330,0,5,3,2,2,2,3,1
331,1,4,2,4,4,2,2,2
332,0,3,4,1,3,3,3,1
333,0,4,3,2,3,2,1,1
334,1,3,4,4,3,4,2,1
335,1,5,3,2,3,2,2,1
336,1,4,4,2,3,2,3,1
337,1,3,3,3,3,5,3,2
338,1,4,3,2,2,4,4,1
339,0,4,3,3,3,2,2,2
340,1,3,3,2,2,2,3,1
341,0,3,4,2,3,1,3,1
342,1,4,2,2,2,4,2,1
343,1,4,2,1,3,2,3,1
344,0,3,2,1,1,3,3,2
345,1,4,4,2,2,4,2,1
346,1,4,4,2,2,4,1,1
347,1,3,3,3,3,2,2,1
348,1,3,3,3,3,1,3,1
349,0,3,3,3,2,3,2,1
350,1,4,4,1,3,5,2,1
351,1,4,2,3,2,2,2,1
352,1,5,3,3,1,1,2,1
353,0,5,4,3,3,4,2,1
354,1,4,3,2,1,4,4,1
355,1,4,3,2,2,4,1,1
356,1,3,4,2,2,4,3,2
357,1,4,1,1,2,3,3,1
358,1,4,4,3,2,4,3,1
359,1,4,3,3,2,1,3,2
360,1,3,2,3,3,1,2,1
361,1,5,3,3,2,3,4,1
362,1,6,4,3,3,2,3,1
363,0,4,3,3,3,2,3,1
364,0,4,4,2,3,3,3,1
365,1,5,4,2,2,3,4,1
366,1,4,4,3,2,4,3,1
367,1,4,4,2,3,2,4,1
368,0,4,4,4,2,2,3,1
369,1,4,3,2,3,2,3,1
370,0,3,2,3,2,1,3,1
371,1,4,3,3,3,2,4,1
372,1,4,2,2,3,2,4,1
373,0,5,5,3,4,3,2,1
374,0,5,3,2,3,2,3,1
375,0,6,3,2,3,4,2,2
376,1,3,3,1,2,2,3,2
377,1,5,3,2,2,2,2,1
378,1,4,4,1,3,2,2,1
379,1,6,3,3,2,5,4,1
380,1,3,3,3,3,4,2,2
381,1,3,2,2,3,3,3,1
382,1,3,2,2,3,4,3,1
383,1,2,3,2,3,3,2,1
384,0,3,3,3,2,2,2,1
385,0,3,3,2,2,2,3,1
386,1,4,2,1,2,3,2,1
387,1,4,2,3,3,3,3,1
388,1,6,3,4,2,2,4,1
389,0,5,2,2,2,4,2,1
390,1,3,4,3,3,2,2,1
391,0,3,3,2,2,4,3,1
392,0,4,2,3,2,3,3,1
393,1,3,3,2,2,4,2,1
394,1,6,2,3,1,2,1,1
395,0,5,3,3,2,2,3,1
396,1,4,4,1,3,3,4,1
397,1,2,2,2,2,1,3,1
398,0,5,3,4,1,4,3,1
